Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2019-03-02,13:00 (19:00),Philadelphia,1–3,Toronto FC,16498,Talen Energy Stadium,Nima Saghafi,Match Report,
Sat,2019-03-02,14:30 (20:30),Orlando City,2–2,NYCFC,25527,Orlando City Stadium,Baldomero Toledo,Match Report,
Sat,2019-03-02,15:00 (00:00),Vancouver,2–3,Minnesota,27837,BC Place Stadium,Rubiel Vazquez,Match Report,
Sat,2019-03-02,15:30 (22:30),Dallas,1–1,New England,14327,Toyota Stadium,Ismail Elfath,Match Report,
Sat,2019-03-02,16:00 (00:00),Colorado,3–3,Portland,12717,Dick's Sporting Goods Park,Drew Fischer,Match Report,
Sat,2019-03-02,16:30 (22:30),Columbus,1–1,NY Red Bulls,17931,MAPFRE Stadium,Ted Unkel,Match Report,
Sat,2019-03-02,17:00 (02:00),LA Galaxy,2–1,Chicago,25866,Dignity Health Sports Park,Allen Chapman,Match Report,
Sat,2019-03-02,17:00 (00:00),Houston,1–1,Real Salt Lake,16827,BBVA Compass Stadium,Armando Villarreal,Match Report,
Sat,2019-03-02,19:00 (04:00),Seattle,4–1,FC Cincinnati,39011,CenturyLink Field,Chris Penso,Match Report,
Sat,2019-03-02,19:00 (04:00),San Jose,1–2,Montreal,18000,Avaya Stadium,Joe Dickerson,Match Report,
Sun,2019-03-03,17:30 (02:30),Los Angeles FC,2–1,Sporting KC,22099,Banc of California Stadium,Robert Sibiga,Match Report,
Sun,2019-03-03,18:00 (00:00),D.C. United,2–0,Atlanta,16942,Audi Field,Jair Marrufo,Match Report,
Sat,2019-03-09,12:00 (19:00),Chicago,1–1,Orlando City,11041,SeatGeek Stadium,Robert Sibiga,Match Report,
Sat,2019-03-09,14:00 (20:00),New England,0–2,Columbus,13808,Gillette Stadium,Dave Gantar,Match Report,
Sat,2019-03-09,14:30 (21:30),Dallas,2–0,LA Galaxy,17220,Toyota Stadium,Armando Villarreal,Match Report,
Sat,2019-03-09,16:00 (00:00),Real Salt Lake,1–0,Vancouver,17096,Rio Tinto Stadium,Drew Fischer,Match Report,
Sat,2019-03-09,16:00 (23:00),Houston,2–1,Montreal,12601,BBVA Compass Stadium,Ismail Elfath,Match Report,
Sat,2019-03-09,17:00 (02:00),San Jose,0–3,Minnesota,16411,Avaya Stadium,Marcos de Oliveira,Match Report,
Sat,2019-03-09,19:00 (04:00),Seattle,2–0,Colorado,37725,CenturyLink Field,Baldomero Toledo,Match Report,
Sun,2019-03-10,14:00 (20:00),Sporting KC,2–0,Philadelphia,18738,Children's Mercy Park,Chris Penso,Match Report,
Sun,2019-03-10,15:00 (20:00),NYCFC,0–0,D.C. United,24361,Yankee Stadium,Nima Saghafi,Match Report,
Sun,2019-03-10,16:30 (00:30),Los Angeles FC,4–1,Portland,22003,Banc of California Stadium,Jair Marrufo,Match Report,
Sun,2019-03-10,17:00 (22:00),Atlanta,1–1,FC Cincinnati,70382,Mercedes-Benz Stadium,Allen Chapman,Match Report,
Sat,2019-03-16,12:00 (18:00),Chicago,2–4,Seattle,10032,SeatGeek Stadium,Joe Dickerson,Match Report,
Sat,2019-03-16,14:00 (20:00),Houston,3–2,Vancouver,13549,BBVA Compass Stadium,Nima Saghafi,Match Report,
Sat,2019-03-16,14:00 (19:00),Columbus,1–0,Dallas,9687,Jesse Owens Memorial Stadium,Alex Chilowicz,Match Report,
Sat,2019-03-16,15:30 (20:30),NY Red Bulls,4–1,San Jose,15621,Red Bull Arena,Rubiel Vazquez,Match Report,
Sat,2019-03-16,16:00 (21:00),Orlando City,1–3,Montreal,22352,Orlando City Stadium,Tim Ford,Match Report,
Sat,2019-03-16,19:30 (03:30),LA Galaxy,3–2,Minnesota,21177,Dignity Health Sports Park,Jair Marrufo,Match Report,
Sat,2019-03-16,20:00 (01:00),D.C. United,5–0,Real Salt Lake,17190,Audi Field,Dave Gantar,Match Report,
Sun,2019-03-17,15:00 (20:00),NYCFC,2–2,Los Angeles FC,20339,Yankee Stadium,Armando Villarreal,Match Report,
Sun,2019-03-17,17:00 (22:00),FC Cincinnati,3–0,Portland,32250,Nippert Stadium,Ismail Elfath,Match Report,
Sun,2019-03-17,19:00 (02:00),Colorado,1–1,Sporting KC,11037,Dick's Sporting Goods Park,Allen Chapman,Match Report,
Sun,2019-03-17,19:00 (00:00),Atlanta,1–1,Philadelphia,42651,Mercedes-Benz Stadium,Robert Sibiga,Match Report,
Sun,2019-03-17,19:30 (00:30),Toronto FC,3–2,New England,23271,BMO Field,Ted Unkel,Match Report,
Sat,2019-03-23,16:45 (22:45),Dallas,2–1,Colorado,14514,Toyota Stadium,Chris Penso,Match Report,
Sat,2019-03-23,19:30 (00:30),NY Red Bulls,0–1,Orlando City,15108,Red Bull Arena,Allen Chapman,Match Report,
Sat,2019-03-23,19:30 (03:30),Los Angeles FC,2–1,Real Salt Lake,22023,Banc of California Stadium,Ismail Elfath,Match Report,
Sat,2019-03-23,19:30 (00:30),Philadelphia,3–0,Columbus,15135,Talen Energy Stadium,Ramy Touchan,Match Report,
Sun,2019-03-24,16:00 (21:00),New England,0–2,FC Cincinnati,10605,Gillette Stadium,Joe Dickerson,Match Report,
Fri,2019-03-29,20:00 (01:00),Toronto FC,4–0,NYCFC,25447,BMO Field,Chris Penso,Match Report,
Sat,2019-03-30,12:00 (18:00),Chicago,1–0,NY Red Bulls,12013,SeatGeek Stadium,Alex Chilowicz,Match Report,
Sat,2019-03-30,12:30 (20:30),San Jose,0–5,Los Angeles FC,18000,Avaya Stadium,Dave Gantar,Match Report,
Sat,2019-03-30,14:00 (19:00),New England,2–1,Minnesota,10657,Gillette Stadium,Allen Chapman,Match Report,
Sat,2019-03-30,14:00 (20:00),Sporting KC,7–1,Montreal,18632,Children's Mercy Park,Nima Saghafi,Match Report,
Sat,2019-03-30,19:00 (03:00),Real Salt Lake,2–4,Dallas,18220,Rio Tinto Stadium,Baldomero Toledo,Match Report,
Sat,2019-03-30,19:00 (03:00),Colorado,1–4,Houston,11061,Dick's Sporting Goods Park,Marcos de Oliveira,Match Report,
Sat,2019-03-30,19:00 (04:00),Vancouver,0–0,Seattle,24803,BC Place Stadium,Robert Sibiga,Match Report,
Sat,2019-03-30,19:30 (00:30),FC Cincinnati,0–2,Philadelphia,25867,Nippert Stadium,Rubiel Vazquez,Match Report,
Sat,2019-03-30,19:30 (00:30),Columbus,2–0,Atlanta,10973,MAPFRE Stadium,Joe Dickerson,Match Report,
Sun,2019-03-31,18:00 (03:00),LA Galaxy,2–1,Portland,23820,Dignity Health Sports Park,Ted Unkel,Match Report,
Sun,2019-03-31,18:30 (00:30),Orlando City,1–2,D.C. United,22481,Orlando City Stadium,Armando Villarreal,Match Report,
Fri,2019-04-05,19:00 (04:00),Vancouver,0–2,LA Galaxy,22120,BC Place Stadium,Baldomero Toledo,Match Report,
Sat,2019-04-06,13:00 (19:00),NYCFC,0–0,Montreal,19353,Yankee Stadium,Ted Unkel,Match Report,
Sat,2019-04-06,15:00 (21:00),D.C. United,0–4,Los Angeles FC,20600,Audi Field,Robert Sibiga,Match Report,
Sat,2019-04-06,15:00 (21:00),Toronto FC,2–2,Chicago,26256,BMO Field,Armando Villarreal,Match Report,
Sat,2019-04-06,17:00 (02:00),San Jose,3–0,Portland,16233,Avaya Stadium,Drew Fischer,Match Report,
Sat,2019-04-06,19:00 (04:00),Seattle,1–0,Real Salt Lake,37722,CenturyLink Field,Nima Saghafi,Match Report,
Sat,2019-04-06,19:00 (01:00),NY Red Bulls,1–2,Minnesota,15706,Red Bull Arena,Joe Dickerson,Match Report,
Sat,2019-04-06,19:30 (01:30),Orlando City,4–3,Colorado,22450,Orlando City Stadium,Jair Marrufo,Match Report,
Sat,2019-04-06,19:30 (01:30),Columbus,1–0,New England,10942,MAPFRE Stadium,Rubiel Vazquez,Match Report,
Sat,2019-04-06,19:30 (01:30),Philadelphia,2–1,Dallas,15844,Talen Energy Stadium,Tim Ford,Match Report,
Sun,2019-04-07,15:00 (21:00),FC Cincinnati,1–1,Sporting KC,26023,Nippert Stadium,Ismail Elfath,Match Report,
Tue,2019-04-09,20:00 (02:00),D.C. United,0–0,Montreal,18116,Audi Field,Chris Penso,Match Report,
Fri,2019-04-12,19:30 (02:30),Chicago,1–1,Vancouver,10439,SeatGeek Stadium,Jair Marrufo,Match Report,
Sat,2019-04-13,13:00 (19:00),Montreal,1–0,Columbus,18634,Stade Saputo,Armando Villarreal,Match Report,
Sat,2019-04-13,13:00 (22:00),Seattle,3–2,Toronto FC,37722,CenturyLink Field,Allen Chapman,Match Report,
Sat,2019-04-13,14:00 (21:00),Houston,2–1,San Jose,14476,BBVA Compass Stadium,Baldomero Toledo,Match Report,
Sat,2019-04-13,16:00 (23:00),Minnesota,3–3,NYCFC,19796,Allianz Field,Alan Kelly,Match Report,
Sat,2019-04-13,19:00 (03:00),Colorado,2–3,D.C. United,15094,Dick's Sporting Goods Park,Ted Unkel,Match Report,
Sat,2019-04-13,19:00 (03:00),Real Salt Lake,2–1,Orlando City,16770,Rio Tinto Stadium,Chris Penso,Match Report,
Sat,2019-04-13,19:00 (02:00),Dallas,2–1,Portland,14376,Toyota Stadium,Marcos de Oliveira,Match Report,
Sat,2019-04-13,19:30 (04:30),LA Galaxy,2–0,Philadelphia,24053,Banc of California Stadium,Dave Gantar,Match Report,
Sat,2019-04-13,19:30 (04:30),Los Angeles FC,2–0,FC Cincinnati,22323,Dignity Health Sports Park,Drew Fischer,Match Report,
Sat,2019-04-13,19:30 (01:30),New England,0–2,Atlanta,15016,Gillette Stadium,Alex Chilowicz,Match Report,
Sun,2019-04-14,18:00 (01:00),Sporting KC,2–2,NY Red Bulls,17897,Children's Mercy Park,Robert Sibiga,Match Report,
Wed,2019-04-17,19:00 (04:00),Vancouver,1–0,Los Angeles FC,17038,BC Place Stadium,Ramy Touchan,Match Report,
Fri,2019-04-19,19:30 (01:30),FC Cincinnati,0–3,Real Salt Lake,26416,Nippert Stadium,Fotis Bazakos,Match Report,
Fri,2019-04-19,20:00 (02:00),Toronto FC,4–3,Minnesota,22651,BMO Field,Ismail Elfath,Match Report,
Fri,2019-04-19,20:00 (05:00),LA Galaxy,2–1,Houston,21503,Dignity Health Sports Park,Jair Marrufo,Match Report,
Sat,2019-04-20,12:00 (19:00),Chicago,4–1,Colorado,12967,SeatGeek Stadium,Dave Gantar,Match Report,
Sat,2019-04-20,13:00 (19:00),Philadelphia,3–0,Montreal,15407,Talen Energy Stadium,Robert Sibiga,Match Report,
Sat,2019-04-20,15:00 (21:00),Orlando City,1–0,Vancouver,22468,Orlando City Stadium,Alan Kelly,Match Report,
Sat,2019-04-20,16:00 (22:00),Atlanta,1–2,Dallas,43351,Mercedes-Benz Stadium,Armando Villarreal,Match Report,
Sat,2019-04-20,19:00 (04:00),San Jose,4–1,Sporting KC,15777,Avaya Stadium,Rubiel Vazquez,Match Report,
Sat,2019-04-20,19:30 (01:30),New England,1–0,NY Red Bulls,14514,Gillette Stadium,Drew Fischer,Match Report,
Sat,2019-04-20,19:30 (01:30),Columbus,1–3,Portland,11707,MAPFRE Stadium,Chris Penso,Match Report,
Sun,2019-04-21,16:00 (22:00),D.C. United,0–2,NYCFC,18004,Audi Field,Allen Chapman,Match Report,
Sun,2019-04-21,16:00 (01:00),Los Angeles FC,4–1,Seattle,22221,Banc of California Stadium,Baldomero Toledo,Match Report,
Wed,2019-04-24,19:00 (01:00),NYCFC,1–0,Chicago,21791,Yankee Stadium,Robert Sibiga,Match Report,
Wed,2019-04-24,19:00 (02:00),Minnesota,0–0,LA Galaxy,19779,Allianz Field,Chris Penso,Match Report,
Wed,2019-04-24,19:30 (01:30),New England,0–3,Montreal,9422,Gillette Stadium,Nima Saghafi,Match Report,
Wed,2019-04-24,19:30 (04:30),Seattle,2–2,San Jose,37722,CenturyLink Field,Fotis Bazakos,Match Report,
Wed,2019-04-24,19:30 (01:30),Columbus,0–1,D.C. United,10169,MAPFRE Stadium,Ismail Elfath,Match Report,
Sat,2019-04-27,13:00 (19:00),NYCFC,1–1,Orlando City,20862,Yankee Stadium,Drew Fischer,Match Report,
Sat,2019-04-27,14:00 (23:00),Vancouver,1–1,Philadelphia,17835,BC Place Stadium,Chris Penso,Match Report,
Sat,2019-04-27,14:30 (21:30),Dallas,0–0,San Jose,14087,Toyota Stadium,Ramy Touchan,Match Report,
Sat,2019-04-27,15:00 (21:00),Toronto FC,1–2,Portland,24832,BMO Field,Alex Chilowicz,Match Report,
Sat,2019-04-27,18:00 (00:00),Atlanta,1–0,Colorado,43005,Mercedes-Benz Stadium,Alan Kelly,Match Report,
Sat,2019-04-27,19:00 (01:00),NY Red Bulls,1–0,FC Cincinnati,16848,Red Bull Arena,Tim Ford,Match Report,
Sat,2019-04-27,19:30 (02:30),Sporting KC,4–4,New England,18511,Children's Mercy Park,Baldomero Toledo,Match Report,
Sat,2019-04-27,19:30 (02:30),Houston,2–0,Columbus,15557,BBVA Compass Stadium,Allen Chapman,Match Report,
Sun,2019-04-28,12:30 (19:30),Minnesota,1–0,D.C. United,19620,Allianz Field,Nima Saghafi,Match Report,
Sun,2019-04-28,12:30 (21:30),Seattle,1–1,Los Angeles FC,38581,CenturyLink Field,Ted Unkel,Match Report,
Sun,2019-04-28,12:30 (18:30),Montreal,1–0,Chicago,15758,Stade Saputo,Rubiel Vazquez,Match Report,
Sun,2019-04-28,17:00 (02:00),LA Galaxy,2–1,Real Salt Lake,20615,Dignity Health Sports Park,Joe Dickerson,Match Report,
Wed,2019-05-01,19:30 (01:30),Philadelphia,2–0,FC Cincinnati,12890,Talen Energy Stadium,Guido Gonzalez Jr.,Match Report,
Fri,2019-05-03,19:00 (03:00),Colorado,2–3,Vancouver,10794,Dick's Sporting Goods Park,Alex Chilowicz,Match Report,
Sat,2019-05-04,14:00 (20:00),NY Red Bulls,3–2,LA Galaxy,20128,Red Bull Arena,Nima Saghafi,Match Report,
Sat,2019-05-04,15:00 (22:00),Houston,2–1,Dallas,16521,BBVA Compass Stadium,Alan Kelly,Match Report,
Sat,2019-05-04,16:00 (22:00),Orlando City,0–2,Toronto FC,22377,Orlando City Stadium,Robert Sibiga,Match Report,
Sat,2019-05-04,17:00 (23:00),Montreal,0–2,NYCFC,16961,Stade Saputo,Baldomero Toledo,Match Report,
Sat,2019-05-04,19:00 (04:00),San Jose,1–0,FC Cincinnati,16743,Avaya Stadium,Dave Gantar,Match Report,
Sat,2019-05-04,19:00 (02:00),Minnesota,1–1,Seattle,19832,Allianz Field,Tim Ford,Match Report,
Sat,2019-05-04,19:00 (03:00),Real Salt Lake,1–2,Portland,18066,Rio Tinto Stadium,Ramy Touchan,Match Report,
Sat,2019-05-04,19:30 (01:30),Philadelphia,6–1,New England,15565,Talen Energy Stadium,Joe Dickerson,Match Report,
Sat,2019-05-04,19:30 (04:30),Los Angeles FC,0–0,Chicago,22154,Banc of California Stadium,Fotis Bazakos,Match Report,
Sat,2019-05-04,20:00 (02:00),D.C. United,3–1,Columbus,16687,Audi Field,Ted Unkel,Match Report,
Sun,2019-05-05,20:00 (03:00),Sporting KC,0–3,Atlanta,18518,Children's Mercy Park,Allen Chapman,Match Report,
Wed,2019-05-08,19:00 (02:00),Chicago,5–0,New England,6074,SeatGeek Stadium,Tim Ford,Match Report,
Wed,2019-05-08,19:00 (01:00),Atlanta,2–0,Toronto FC,42537,Mercedes-Benz Stadium,Chris Penso,Match Report,
Wed,2019-05-08,19:30 (01:30),Columbus,3–1,LA Galaxy,13207,MAPFRE Stadium,Rubiel Vazquez,Match Report,
Wed,2019-05-08,20:00 (02:00),NY Red Bulls,1–2,Montreal,11115,Red Bull Arena,Alex Chilowicz,Match Report,
Fri,2019-05-10,19:00 (04:00),Vancouver,1–0,Portland,18356,BC Place Stadium,Allen Chapman,Match Report,
Sat,2019-05-11,13:00 (20:00),Dallas,1–3,NY Red Bulls,12263,Toyota Stadium,Drew Fischer,Match Report,
Sat,2019-05-11,13:00 (22:00),LA Galaxy,0–2,NYCFC,22806,Dignity Health Sports Park,Chris Penso,Match Report,
Sat,2019-05-11,13:00 (19:00),FC Cincinnati,2–1,Montreal,26258,Nippert Stadium,Joe Dickerson,Match Report,
Sat,2019-05-11,15:00 (21:00),Toronto FC,1–2,Philadelphia,26219,BMO Field,Ramy Touchan,Match Report,
Sat,2019-05-11,19:00 (03:00),Colorado,2–3,Real Salt Lake,15437,Dick's Sporting Goods Park,Robert Sibiga,Match Report,
Sat,2019-05-11,19:00 (04:00),Seattle,1–0,Houston,39232,CenturyLink Field,Alex Chilowicz,Match Report,
Sat,2019-05-11,19:00 (02:00),Chicago,2–0,Minnesota,11531,SeatGeek Stadium,Marcos de Oliveira,Match Report,
Sat,2019-05-11,19:30 (01:30),Columbus,0–3,Los Angeles FC,18048,MAPFRE Stadium,Nima Saghafi,Match Report,
Sat,2019-05-11,19:30 (01:30),New England,3–1,San Jose,20610,Gillette Stadium,Guido Gonzalez Jr.,Match Report,
Sun,2019-05-12,14:30 (20:30),Atlanta,1–0,Orlando City,68152,Mercedes-Benz Stadium,Rubiel Vazquez,Match Report,
Sun,2019-05-12,19:00 (01:00),D.C. United,1–0,Sporting KC,12521,Audi Field,Alan Kelly,Match Report,
Wed,2019-05-15,19:00 (04:00),Vancouver,0–1,Atlanta,16138,BC Place Stadium,Baldomero Toledo,Match Report,
Wed,2019-05-15,19:30 (02:30),Houston,1–1,Portland,13327,BBVA Compass Stadium,Ted Unkel,Match Report,
Wed,2019-05-15,19:30 (04:30),Seattle,2–1,Orlando City,37722,CenturyLink Field,Dave Gantar,Match Report,
Wed,2019-05-15,20:00 (02:00),Toronto FC,0–0,D.C. United,26116,BMO Field,Drew Fischer,Match Report,
Thu,2019-05-16,19:00 (04:00),Los Angeles FC,2–0,Dallas,22001,Banc of California Stadium,Allen Chapman,Match Report,
Sat,2019-05-18,12:30 (21:30),San Jose,4–1,Chicago,15232,Avaya Stadium,Alex Chilowicz,Match Report,
Sat,2019-05-18,13:00 (19:00),Montreal,0–0,New England,15559,Stade Saputo,Ramy Touchan,Match Report,
Sat,2019-05-18,13:00 (21:00),Real Salt Lake,3–0,Toronto FC,15949,Rio Tinto Stadium,Joe Dickerson,Match Report,
Sat,2019-05-18,19:00 (02:00),Minnesota,1–0,Columbus,19600,Allianz Field,Dave Gantar,Match Report,
Sat,2019-05-18,19:30 (02:30),Sporting KC,1–1,Vancouver,18691,Children's Mercy Park,Tim Ford,Match Report,
Sat,2019-05-18,19:30 (01:30),Philadelphia,0–0,Seattle,18540,Talen Energy Stadium,Marcos de Oliveira,Match Report,
Sat,2019-05-18,19:30 (02:30),Houston,2–1,D.C. United,15811,BBVA Compass Stadium,Rubiel Vazquez,Match Report,
Sun,2019-05-19,15:00 (21:00),Orlando City,5–1,FC Cincinnati,22341,Orlando City Stadium,Nima Saghafi,Match Report,
Sun,2019-05-19,17:00 (02:00),LA Galaxy,0–1,Colorado,19015,Dignity Health Sports Park,Drew Fischer,Match Report,
Sun,2019-05-19,17:00 (23:00),NY Red Bulls,1–0,Atlanta,18495,Red Bull Arena,Robert Sibiga,Match Report,
Sun,2019-05-19,18:30 (01:30),Dallas,1–1,Los Angeles FC,15135,Toyota Stadium,Chris Penso,Match Report,
Wed,2019-05-22,20:00 (02:00),NY Red Bulls,2–2,Vancouver,13035,Red Bull Arena,Victor Rivas,Match Report,
Fri,2019-05-24,19:00 (03:00),Real Salt Lake,2–1,Atlanta,17214,Rio Tinto Stadium,Jair Marrufo,Match Report,
Fri,2019-05-24,19:00 (01:00),Orlando City,0–1,LA Galaxy,24712,Orlando City Stadium,Allen Chapman,Match Report,
Fri,2019-05-24,19:30 (04:30),Los Angeles FC,4–2,Montreal,22444,Banc of California Stadium,Armando Villarreal,Match Report,
Sat,2019-05-25,14:30 (21:30),Chicago,1–1,NYCFC,10986,SeatGeek Stadium,Ramy Touchan,Match Report,
Sat,2019-05-25,16:00 (01:00),Vancouver,2–1,Dallas,18309,BC Place Stadium,Alex Chilowicz,Match Report,
Sat,2019-05-25,19:00 (03:00),Colorado,3–2,Columbus,16843,Dick's Sporting Goods Park,Baldomero Toledo,Match Report,
Sat,2019-05-25,19:00 (02:00),Minnesota,1–0,Houston,19701,Allianz Field,Joe Dickerson,Match Report,
Sat,2019-05-25,19:30 (01:30),New England,1–1,D.C. United,20131,Gillette Stadium,Dave Gantar,Match Report,
Sat,2019-05-25,19:30 (01:30),FC Cincinnati,0–2,NY Red Bulls,28290,Nippert Stadium,Fotis Bazakos,Match Report,
Sat,2019-05-25,19:30 (01:30),Philadelphia,1–3,Portland,18474,Talen Energy Stadium,Drew Fischer,Match Report,
Sun,2019-05-26,17:00 (00:00),Sporting KC,3–2,Seattle,19882,Children's Mercy Park,Chris Penso,Match Report,
Sun,2019-05-26,19:30 (01:30),Toronto FC,1–2,San Jose,23524,BMO Field,Nima Saghafi,Match Report,
Wed,2019-05-29,19:00 (01:00),Atlanta,3–0,Minnesota,42703,Mercedes-Benz Stadium,Alex Chilowicz,Match Report,
Wed,2019-05-29,19:30 (02:30),Sporting KC,0–2,LA Galaxy,19979,Children's Mercy Park,Robert Sibiga,Match Report,
Wed,2019-05-29,19:30 (01:30),Montreal,2–1,Real Salt Lake,11966,Stade Saputo,Fotis Bazakos,Match Report,
Wed,2019-05-29,20:00 (02:00),D.C. United,3–3,Chicago,14201,Audi Field,Armando Villarreal,Match Report,
Wed,2019-05-29,20:30 (02:30),Philadelphia,1–1,Colorado,14207,Talen Energy Stadium,Tim Ford,Match Report,
Fri,2019-05-31,19:00 (04:00),Vancouver,1–1,Toronto FC,21083,BC Place Stadium,Jair Marrufo,Match Report,
Sat,2019-06-01,17:00 (23:00),Montreal,0–3,Orlando City,17018,Stade Saputo,Chris Penso,Match Report,
Sat,2019-06-01,18:00 (00:00),Atlanta,2–0,Chicago,67502,Mercedes-Benz Stadium,Nima Saghafi,Match Report,
Sat,2019-06-01,18:30 (02:30),Colorado,3–1,FC Cincinnati,16998,Dick's Sporting Goods Park,Ted Unkel,Match Report,
Sat,2019-06-01,19:00 (01:00),NY Red Bulls,4–0,Real Salt Lake,19122,Red Bull Arena,Armando Villarreal,Match Report,
Sat,2019-06-01,19:00 (02:00),Dallas,2–1,Seattle,14327,Toyota Stadium,Baldomero Toledo,Match Report,
Sat,2019-06-01,19:30 (04:30),Portland,2–3,Los Angeles FC,25218,Providence Park,Robert Sibiga,Match Report,
Sat,2019-06-01,19:30 (01:30),Columbus,2–2,NYCFC,13704,MAPFRE Stadium,Joe Dickerson,Match Report,
Sat,2019-06-01,19:30 (02:30),Houston,1–1,Sporting KC,15710,BBVA Compass Stadium,Kevin Stott,Match Report,
Sat,2019-06-01,20:00 (02:00),D.C. United,1–1,San Jose,18002,Audi Field,Ramy Touchan,Match Report,
Sun,2019-06-02,15:00 (22:00),Minnesota,2–3,Philadelphia,19738,Allianz Field,Allen Chapman,Match Report,
Sun,2019-06-02,19:30 (04:30),LA Galaxy,1–2,New England,20828,Dignity Health Sports Park,Alex Chilowicz,Match Report,
Wed,2019-06-05,19:30 (01:30),Montreal,2–1,Seattle,13037,Stade Saputo,Nima Saghafi,Match Report,
Thu,2019-06-06,19:00 (01:00),NYCFC,5–2,FC Cincinnati,18597,Yankee Stadium,Allen Chapman,Match Report,
Fri,2019-06-07,19:00 (01:00),Toronto FC,2–2,Sporting KC,24748,BMO Field,Fotis Bazakos,Match Report,
Sat,2019-06-08,12:30 (21:30),San Jose,2–2,Dallas,16841,Avaya Stadium,Ted Unkel,Match Report,
Sat,2019-06-08,19:00 (03:00),Colorado,1–0,Minnesota,14160,Dick's Sporting Goods Park,Ramy Touchan,Match Report,
Sat,2019-06-08,19:30 (01:30),Philadelphia,3–2,NY Red Bulls,18767,Talen Energy Stadium,Kevin Stott,Match Report,
Sat,2019-06-22,19:00 (02:00),Dallas,3–0,Toronto FC,13623,Toyota Stadium,Kevin Stott,Match Report,
Sat,2019-06-22,19:00 (02:00),Chicago,1–1,Real Salt Lake,15609,SeatGeek Stadium,Baldomero Toledo,Match Report,
Sat,2019-06-22,19:00 (04:00),Vancouver,2–2,Colorado,19893,BC Place Stadium,Fotis Bazakos,Match Report,
Sat,2019-06-22,19:30 (01:30),FC Cincinnati,0–2,LA Galaxy,32250,Nippert Stadium,Marcos de Oliveira,Match Report,
Sat,2019-06-22,20:00 (05:00),Portland,4–0,Houston,25218,Providence Park,Alan Kelly,Match Report,
Sun,2019-06-23,17:30 (23:30),Columbus,0–1,Sporting KC,14015,MAPFRE Stadium,Allen Chapman,Match Report,
Wed,2019-06-26,19:00 (01:00),New England,1–1,Philadelphia,11571,Gillette Stadium,Nima Saghafi,Match Report,
